fixture	guarantee	pilot_seam	full_rollout	roster_action_equivalent
Test/CompileFail/FrontendSurfaceWrongResourceFieldOrder.hs	fields	unchanged	unchanged	Test/CompileFail/FrontendSurfaceRosterActionWrongFieldOrder.hs
Test/CompileFail/FrontendSurfaceWrongFieldPresence.hs	fields	unchanged	unchanged	Test/CompileFail/FrontendSurfaceRosterActionWrongFieldPresence.hs
Test/CompileFail/FrontendSurfaceWrongResourceWireType.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongActionMarker.hs	owner	unchanged	operation-local-action	Test/CompileFail/FrontendSurfaceRosterActionWrongOwner.hs
Test/CompileFail/FrontendSurfaceWrongActionField.hs	fields	unchanged	operation-local-action	Test/CompileFail/FrontendSurfaceRosterActionWrongField.hs
Test/CompileFail/FrontendSurfaceWrongActionOperation.hs	operation	unchanged	operation-local-action	Test/CompileFail/FrontendSurfaceRosterActionWrongOperation.hs
Test/CompileFail/FrontendSurfaceRosterActionWrongOperation.hs	operation	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionWrongOwner.hs	owner	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionWrongField.hs	fields	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionRawRebinding.hs	opaque	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionIncomplete.hs	fields	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionExtraField.hs	fields	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionWrongFieldOrder.hs	fields	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionWrongFieldPresence.hs	fields	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRosterActionWrongWireType.hs	fields	operation-local-action	operation-local-action	-
Test/CompileFail/FrontendSurfaceRawActionRebinding.hs	opaque	unchanged	operation-local-action	Test/CompileFail/FrontendSurfaceRosterActionRawRebinding.hs
Test/CompileFail/FrontendSurfaceIncompleteAction.hs	fields	unchanged	operation-local-action	Test/CompileFail/FrontendSurfaceRosterActionIncomplete.hs
Test/CompileFail/FrontendSurfaceWrongActionWireType.hs	fields	unchanged	operation-local-action	Test/CompileFail/FrontendSurfaceRosterActionWrongWireType.hs
Test/CompileFail/FrontendSurfaceIncompleteIntent.hs	fields	unchanged	operation-local-intent	-
Test/CompileFail/FrontendSurfaceWrongClosedScalarDomain.hs	closed	unchanged	operation-local-intent	-
Test/CompileFail/FrontendContractCarrierMissingField.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendContractCarrierExtraField.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendContractCarrierWrongField.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendContractCarrierWrongCase.hs	closed	unchanged	unchanged	-
Test/CompileFail/FrontendContractCarrierIncompleteUnionParser.hs	closed	unchanged	unchanged	-
Test/CompileFail/FrontendContractCarrierWrongWireType.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceServerDtoBrowserRender.hs	reachability	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongSortKey.hs	closed	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongTabKey.hs	closed	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongClosedStateValue.hs	closed	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceUnknownInteractionEffect.hs	closed	unchanged	unchanged	-
Test/CompileFail/FrontendToggleScalarListField.hs	fields	unchanged	operation-local-action	-
Test/CompileFail/FrontendToggleWrongListItemWire.hs	fields	unchanged	operation-local-action	-
Test/CompileFail/FrontendTimePickerIncompleteConfig.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendOrderedRangeIncompleteConfig.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendHorizontalScrollIncompleteConfig.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendXeroCandidateRawProjection.hs	opaque	unchanged	unchanged	-
Test/CompileFail/FrontendAppShellWrongActionField.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendAppShellWrongActionOperation.hs	operation	unchanged	unchanged	-
